"x"
"1"	711
"2"	1272
"3"	355
"4"	627
"5"	883
"6"	1232
"7"	684
"8"	279
"9"	583
"10"	556
"11"	718
"12"	721
"13"	703
"14"	427
"15"	605
"16"	944
"17"	1039
"18"	743
"19"	73
"20"	586
"21"	1222
"22"	323
"23"	485
"24"	1227
"25"	9
"26"	354
"27"	1076
"28"	86
"29"	19
"30"	687
"31"	1331
"32"	809
"33"	1226
"34"	1001
"35"	1264
"36"	857
"37"	1164
"38"	805
"39"	1233
"40"	158
"41"	112
"42"	1344
"43"	274
"44"	1327
"45"	515
"46"	1351
"47"	451
"48"	6
"49"	710
"50"	434
"51"	838
"52"	1309
"53"	1110
"54"	621
"55"	775
"56"	730
"57"	600
"58"	287
"59"	389
"60"	708
"61"	874
"62"	1124
"63"	797
"64"	1095
"65"	1353
"66"	819
"67"	397
"68"	949
"69"	1180
"70"	494
"71"	1341
"72"	1217
"73"	50
"74"	305
"75"	554
"76"	937
"77"	321
"78"	1316
"79"	408
"80"	535
"81"	1169
"82"	982
"83"	330
"84"	831
"85"	1209
"86"	565
"87"	620
"88"	777
"89"	923
"90"	469
"91"	498
"92"	431
"93"	144
"94"	449
"95"	334
"96"	871
"97"	77
"98"	888
"99"	26
"100"	983
"101"	151
"102"	692
"103"	503
"104"	17
"105"	1107
"106"	1346
"107"	1362
"108"	898
"109"	776
"110"	191
"111"	1422
"112"	827
"113"	49
"114"	260
"115"	961
"116"	510
"117"	706
"118"	232
"119"	879
"120"	54
"121"	120
"122"	829
"123"	767
"124"	244
"125"	206
"126"	681
"127"	18
"128"	361
"129"	415
"130"	213
"131"	125
"132"	915
"133"	1314
"134"	262
"135"	527
"136"	713
"137"	678
"138"	95
"139"	1395
"140"	904
"141"	551
"142"	1358
"143"	350
